광역자치단체명,선거구,선거구 설명,기호,정당명,후보자명(한글),후보자명(한자),득표수,득표율,순위,당선여부,중도탈락여부,전체유권자수,전체투표수,전체무효표수
경기도,성남시 분당구 을,"정자1동, 정자2동, 정자3동, 정자동, 분당동, 금곡동,   구미동, 구미1동, 수내1동, 수내2동, 수내3동",2,미래통합당,김민수,金玟秀,64342,45.1,2.0,False,False,195239,143734,1089
경기도,성남시 분당구 을,"정자1동, 정자2동, 정자3동, 정자동, 분당동, 금곡동,   구미동, 구미1동, 수내1동, 수내2동, 수내3동",6,정의당,양호영,楊鎬榮,3021,2.11,4.0,False,False,195239,143734,1089
경기도,성남시 분당구 을,"정자1동, 정자2동, 정자3동, 정자동, 분당동, 금곡동,   구미동, 구미1동, 수내1동, 수내2동, 수내3동",7,우리공화당,채지민,蔡志旼,439,0.3,6.0,False,False,195239,143734,1089
경기도,성남시 분당구 을,"정자1동, 정자2동, 정자3동, 정자동, 분당동, 금곡동,   구미동, 구미1동, 수내1동, 수내2동, 수내3동",8,민중당,김미라,金美羅,489,0.34,5.0,False,False,195239,143734,1089
경기도,성남시 분당구 을,"정자1동, 정자2동, 정자3동, 정자동, 분당동, 금곡동,   구미동, 구미1동, 수내1동, 수내2동, 수내3동",9,국가혁명배당금당,송의준,宋義晙,305,0.21,7.0,False,False,195239,143734,1089
경기도,성남시 분당구 을,"정자1동, 정자2동, 정자3동, 정자동, 분당동, 금곡동,   구미동, 구미1동, 수내1동, 수내2동, 수내3동",10,무소속,이나영,李娜榮,5662,3.96,3.0,False,False,195239,143734,1089
경기도,의정부시 갑,"호원1동, 호원2동, 가능동, 흥선동, 의정부1동, 의정부2동, 녹양동",1,더불어민주당,오영환,吳永煥,54806,53.03,1.0,True,False,178374,104773,1428
경기도,의정부시 갑,"호원1동, 호원2동, 가능동, 흥선동, 의정부1동, 의정부2동, 녹양동",2,미래통합당,강세창,姜世昌,38644,37.39,2.0,False,False,178374,104773,1428
경기도,의정부시 갑,"호원1동, 호원2동, 가능동, 흥선동, 의정부1동, 의정부2동, 녹양동",7,국가혁명배당금당,이종동,李鍾東,1051,1.01,4.0,False,False,178374,104773,1428
경기도,의정부시 갑,"호원1동, 호원2동, 가능동, 흥선동, 의정부1동, 의정부2동, 녹양동",8,무소속,문석균,文晳均,8844,8.55,3.0,False,False,178374,104773,1428
경기도,의정부시 을,"신곡1동, 신곡2동, 장암동, 자금동, 송산1동, 송산2동, 송산3동",1,더불어민주당,김민철,金敏徹,71573,55.98,1.0,True,False,207183,129338,1502
경기도,의정부시 을,"신곡1동, 신곡2동, 장암동, 자금동, 송산1동, 송산2동, 송산3동",2,미래통합당,이형섭,李亨燮,49640,38.83,2.0,False,False,207183,129338,1502
경기도,의정부시 을,"신곡1동, 신곡2동, 장암동, 자금동, 송산1동, 송산2동, 송산3동",7,민중당,김재연,金在姸,5536,4.33,3.0,False,False,207183,129338,1502
경기도,의정부시 을,"신곡1동, 신곡2동, 장암동, 자금동, 송산1동, 송산2동, 송산3동",8,국가혁명배당금당,정동진,鄭東璡,1087,0.85,4.0,False,False,207183,129338,1502
경기도,안양시 만안구,만안구 일원 [3],1,더불어민주당,강득구,姜得求,75266,53.6,1.0,True,False,210881,141903,1504
경기도,안양시 만안구,만안구 일원 [3],2,미래통합당,이필운,李弼雲,59438,42.33,2.0,False,False,210881,141903,1504
경기도,안양시 만안구,만안구 일원 [3],6,정의당,이종태,李鍾泰,4706,3.35,3.0,False,False,210881,141903,1504
경기도,안양시 만안구,만안구 일원 [3],7,국가혁명배당금당,김효근,金孝根,989,0.7,4.0,False,False,210881,141903,1504
경기도,안양시 동안구 갑,"비산1동, 비산2동, 비산3동, 부흥동,   달안동, 부림동, 관양1동, 관양2동",1,더불어민주당,민병덕,閔炳德,56345,55.33,1.0,True,False,145827,102910,1089
